data_da_tabela,dias_uteis,taxa_nominal,taxa_real,inflacao_implicita
2025-08-27,252,14.3056,9.9185,3.9912
2025-08-27,378,13.7792,8.8973,4.483
2025-08-27,504,13.4597,8.3688,4.6977
2025-08-27,630,13.3264,8.0984,4.8363
2025-08-27,756,13.3198,7.9592,4.9653
2025-08-27,882,13.3881,7.8836,5.1022
2025-08-27,1008,13.4946,7.8367,5.2467
2025-08-27,1134,13.6157,7.8013,5.3936
2025-08-27,1260,13.7367,7.7691,5.5373
2025-08-27,1386,13.8488,7.7368,5.673
2025-08-27,1512,13.9472,7.7036,5.797
2025-08-27,1638,14.0293,7.6693,5.9069
2025-08-27,1764,14.0941,7.6345,6.0014
2025-08-27,1890,14.1416,7.5998,6.0797
2025-08-27,2016,14.1723,7.5656,6.142
2025-08-27,2142,14.187,7.5323,6.1885
2025-08-27,2268,14.1867,7.5003,6.2198
